product_id;product_name;brand
280;Assam Black Tea - Dravak Second Flush, Provides Energy;Teamonk
281;Nutty Cookies - Chewy, Crispy & Crunchy;CookieMan
282;Masters Blend Tea- Rich Taste;Emperia
283;Organic Tea - Infusion, Pure Tulsi;IndiSecrets
284;Organic Tulsi & Honey Chamomile;IndiSecrets
285;Organic Tulsi Ginger & Turmeric;IndiSecrets
286;Crunchy Muesli - Oat Clusters With Raisins, Gluten Free, Healthy Breakfast;Monsoon Harvest
287;Maharaja Breakfast Long Leaf Black Tea;VAHDAM
288;Kumud Oolong Tea - May Help In Weight Management, Easy To Digest;Teamonk Global
289;Darjeeling Green Tea - Ahina Long Leaf, Helps To Detox;Teamonk
290;Dairy Rich Chocolate Bar - Fruit & Nut;LuvIt
291;Natura Rice & Hazelnut Drink, Vegan;BORGES
292;Nilgiris Green Tea - Anicca Chamomile, Helps To Feel Relaxed & Calm;Teamonk
293;Coconut Macaroon Cookies - Crispy, Crunchy;CookieMan
294;Choco Chip Cookies - Chewy, Crispy;CookieMan
295;Mocha Cookies - Soft, Chewy, Thick;CookieMan
296;Black Currant Cookies - Crispy & Crunchy;CookieMan
297;Black Tea - Bodh, Second Flush;Teamonk
298;Tomato Ketchup;Morton
299;Popped Potato Chips - Salt Trippin;tagz
300;Green Tea - Zoho, Lemongrass;Teamonk
301;Processed Cheese Slices - Made From Cow Milk, Easy To Use;D'Lecta
302;Organic Earl Grey Green Tea Bags - With Bergamot Citrus;VAHDAM
303;Cheese Spread - Cream Cheese;Britannia
304;Luscious Chocolate Bar - Rich with Roasted Almond;LuvIt
305;Salted Butter - No Added Preservatives & Chemicals;Fresho Organic
306;Corn Flakes Plus - Original & Healthier;Bagrrys
307;Darjeeling Premium Summer Black Tea;VAHDAM
308;Amori Pasta - Goodness Of Chickpea, Red Lentil & Brown Rice, High Protein & Fibre;WickedGud
309;Yo Pop Flavoured Yogurt Drink - Mango;Mamie Yova
310;Organic Sweet Himalayan Long Leaf Green Tea;VAHDAM
311;Organic Vanilla Spiced Long Leaf Tea;VAHDAM
312;Processed Cheese Cubes - Made from Cow's Milk;D'Lecta
313;Yo Pop Flavoured Yoghurt Drink - Banana;Mamie Yova
314;Yo Pop Flavoured Yogurt Drink - Pinna Colada;Mamie Yova
315;Yo Pop Flavoured Yogurt Drink - Vanilla;Mamie Yova
316;Ayurvedic Juice For Men - Hair & Vitality Booster, Improves Vigour, No Added Sugar;Sesa
317;Center Filled Dark Chocolate Cookies;Fresho Signature
318;Enrobed Cinnamon Milk Chocolate Dipped Cookies;Fresho Signature
319;Red Velvet Cake;Fresho Signature
320;Blueberry Cheese Cake;Fresho Signature
321;New York Cheese Cake;Fresho Signature
322;Chocolate Cheese Cake - Eggless;Fresho Signature
323;Assorted French Macarons;Lindberg
324;Cocoa Matcha Green Tea Powder - 100% Pure Japanese Ground;VAHDAM
325;Natural Honey - Multiflora;DIVING DUCK
326;Cookies - Honey & Corn Flakes;Tasties
327;Rooibos Herbal Tea - Helps To Detox The System;Teamonk
328;Dairy Milk Bites - Almonds, Roasted & Chocolate Coated, Rich & Luscious Dessert;Cadbury
329;Organic Tulsi Ginger Herbal Infusion Tea Bag;24 Mantra
330;Fruit Power Mixed Fruit Juice - Vitamin Boost, Refreshing Drink, No Preservatives;Real
331;Schezwan Stir Fry Sauce;Inchi 
332;Organic Recover Turmeric Elixir - Improves Overall Health;VAHDAM
333;Milk Cookies;Unibic
334;Green Tea - Ikusei, Cardamom;Teamonk
335;Squid - Medium;Fresho
336;Squid - Medium, Without Head, 15-20 pcs;Fresho
